,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sample_type,max_torque_rpm
61,bmw x,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,TEST,2500.0
62,datsun redigo,2017,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,72.0,5,TEST,4386.0
63,hyundai i,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5,TEST,4000.0
64,hyundai i,2015,625000,90000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,219.66,5,TEST,2750.0
65,hyundai creta,2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,219.7,5,TEST,2750.0
66,maruti swift,2008,200000,90000,Petrol,Individual,Manual,First Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
67,ford ecosport,2014,570000,48000,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,215.0,5,TEST,2500.0
68,maruti ertiga,2015,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7,TEST,4000.0
69,maruti baleno,2018,560000,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,TEST,4000.0
70,hyundai i,2014,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.8,5,TEST,4000.0
71,hyundai santro,2002,35000,184000,Petrol,Individual,Manual,Second Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
72,hyundai i,2014,620000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,TEST,2750.0
73,hyundai i,2019,721000,9400,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
74,mahindra bolero,2006,170000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,83.0,176.0,7,TEST,1500.0
75,volvo v,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,350.0,5,TEST,2750.0
76,maruti alto,2013,190000,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69.0,5,TEST,3500.0
77,honda jazz,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,TEST,4800.0
78,hyundai xcent,2016,350000,120000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,180.4,5,TEST,2500.0
79,tata safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,TEST,3000.0
80,mahindra bolero,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
81,maruti alto,2015,265000,48000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,TEST,3500.0
82,honda city,2017,890000,18300,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,145.0,5,TEST,4600.0
83,maruti swift,2017,635000,120000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,113.0,5,TEST,4200.0
84,hyundai creta,2016,900000,110000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,TEST,2750.0
85,hyundai i,2017,620000,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
86,ford ecosport,2014,550000,105000,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,215.0,5,TEST,2500.0
87,chevrolet beat,2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,150.0,5,TEST,1750.0
88,nissan sunny,2018,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,200.0,5,TEST,2000.0
89,toyota fortuner,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,450.0,7,TEST,2400.0
90,maruti alto,2007,100000,70000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,TEST,3000.0
91,maruti vitara,2016,750000,80000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,TEST,1750.0
92,ford figo,2012,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,160.0,5,TEST,2000.0
93,tata tigor,2017,600000,40000,Petrol,Individual,Manual,Second Owner,20.3,1199,84.0,114.0,5,TEST,3500.0
94,ford figo,2017,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,215.0,5,TEST,3000.0
95,hyundai grand,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,114.0,5,TEST,4000.0
96,hyundai grand,2015,450000,53000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160.0,5,TEST,2750.0
97,mahindra scorpio,2015,1050000,80000,Diesel,Individual,Manual,Second Owner,15.4,2179,120.0,280.0,7,TEST,2800.0
98,toyota fortuner,2015,2000000,120000,Diesel,Individual,Manual,First Owner,13.0,2494,142.0,343.0,7,TEST,2800.0
99,tata indigo,2014,221000,65000,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,135.0,5,TEST,2500.0
100,hyundai eon,2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,TEST,4000.0
101,tata indica,2013,325000,100000,Diesel,Individual,Manual,First Owner,22.3,1248,88.8,200.0,5,TEST,3000.0
102,volkswagen vento,2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,250.0,5,TEST,3000.0
103,toyota camry,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,TEST,4500.0
104,maruti alto,2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
105,maruti swift,2014,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,TEST,4200.0
106,maruti swift,2017,699000,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,TEST,2000.0
107,maruti ertiga,2014,425000,80000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,130.0,7,TEST,4000.0
108,maruti sx,2009,250000,125876,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,1422.015,5,TEST,4100.0
109,maruti baleno,2019,675000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,115.0,5,TEST,4000.0
110,tata indica,2015,240000,110000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,135.4,5,TEST,2500.0
111,toyota etios,2013,451000,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,170.0,5,TEST,2400.0
112,maruti swift,2017,750000,110000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,190.0,5,TEST,2000.0
113,tata sumo,2017,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,223.0,7,TEST,2200.0
114,maruti zen,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78.0,5,TEST,4500.0
115,maruti esteem,2007,55000,70000,Petrol,Individual,Manual,Third Owner,15.9,1298,85.0,110.0,5,TEST,4500.0
116,maruti std,1995,55000,70000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4,TEST,2500.0
117,hyundai creta,2017,1000000,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582,126.2,259.9,5,TEST,2750.0
118,mahindra bolero,2006,210000,120000,Diesel,Individual,Manual,First Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
119,maruti swift,2013,409999,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,190.0,5,TEST,2000.0
120,mahindra bolero,2017,620000,100000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,195.0,7,TEST,2200.0
121,hyundai xcent,2017,620000,31000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,190.25,5,TEST,2250.0
122,honda city,2017,1100000,26000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.3,145.0,5,TEST,4600.0
123,maruti eeco,2013,275000,80000,Petrol,Individual,Manual,Second Owner,15.1,1196,73.0,101.0,5,TEST,3000.0
124,hyundai i,2011,290000,90000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,111.7998,5,TEST,4000.0
125,hyundai i,2018,655000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
126,datsun redigo,2018,250000,10000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,72.0,5,TEST,4386.0
127,maruti alto,2012,180000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,TEST,3500.0
128,chevrolet captiva,2008,300000,100000,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,320.0,7,TEST,2000.0
129,tata indigo,2010,135000,148000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,135.0,5,TEST,2500.0
130,hyundai santro,2009,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.0,96.1,5,TEST,3000.0
131,maruti swift,2016,482000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,TEST,4200.0
132,tata indica,2013,150000,90000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4,5,TEST,2500.0
133,mahindra scorpio,2012,470000,215000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,290.0,7,TEST,2800.0
134,maruti celerio,2017,395000,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,90.0,5,TEST,3500.0
135,maruti ertiga,2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7,TEST,1750.0
136,mahindra verito,2012,140000,120000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,160.0,5,TEST,2000.0
137,maruti ertiga,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,TEST,1750.0
138,maruti swift,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,190.0,5,TEST,2000.0
139,mahindra bolero,2017,660000,60000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,195.0,7,TEST,2200.0
140,maruti alto,2011,175000,175000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
141,tata indica,2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190.0,5,TEST,3000.0
142,maruti swift,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
143,maruti swift,2019,550000,40000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,TEST,4200.0
144,maruti swift,2012,350000,30000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114.0,5,TEST,4000.0
145,maruti swift,2011,340000,160000,Diesel,Individual,Manual,Second Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
146,maruti swift,2018,755000,39000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,190.0,5,TEST,2000.0
147,datsun go,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,104.0,5,TEST,4000.0
148,volvo xc,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,400.0,5,TEST,400.0
149,hyundai santro,2005,110000,53563,Petrol,Dealer,Manual,Second Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
150,maruti alto,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,TEST,3500.0
151,tata nexon,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,170.0,5,TEST,4000.0
152,ford freestyle,2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,120.0,5,TEST,4250.0
153,maruti alto,2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
154,mahindra xuv,2014,850000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330.0,7,TEST,2800.0
155,toyota fortuner,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,343.0,7,TEST,3400.0
156,maruti swift,2009,307000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,190.0,5,TEST,2000.0
157,hyundai eon,2014,220000,50000,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,74.5,5,TEST,4000.0
158,ford ecosport,2017,850000,63982,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,204.0,5,TEST,2750.0
159,maruti swift,2011,350000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,TEST,2000.0
160,hyundai accent,2012,275000,48000,CNG,Individual,Manual,First Owner,13.2,1495,93.7,124.5,5,TEST,3500.0
161,hyundai creta,2016,819999,39000,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,259.9,5,TEST,2750.0
162,maruti swift,2011,240000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,TEST,2000.0
163,hyundai accent,2003,110000,90000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,122.5875,5,TEST,3500.0
164,toyota innova,2007,270000,147500,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,200.06279999999998,7,TEST,3400.0
165,ambassador grand,2008,122000,60000,Diesel,Individual,Manual,Second Owner,12.8,1995,52.0,106.0,5,TEST,2200.0
166,tata indigo,2016,370000,90000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,TEST,2500.0
167,ford figo,2017,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,TEST,4000.0
168,mahindra bolero,2004,120000,150000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,TEST,1500.0
169,maruti swift,2017,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,TEST,2000.0
170,ford endeavour,2004,400000,93415,Diesel,Dealer,Manual,First Owner,13.1,2499,141.0,330.0,7,TEST,1800.0
171,maruti swift,2019,630000,15000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.0,190.0,5,TEST,2000.0
172,hyundai i,2010,150000,106000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7,5,TEST,4000.0
173,volkswagen polo,2013,350000,70000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,180.0,5,TEST,2000.0
174,hyundai i,2015,516000,90000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
175,mahindra tuv,2016,750000,71000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,TEST,2800.0
176,honda city,2006,200000,100000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,124.5489,5,TEST,2700.0
177,hyundai eon,2017,280000,31000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,TEST,4000.0
178,hyundai i,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
179,maruti swift,2006,189000,93000,Petrol,Individual,Manual,Second Owner,16.1,1197,85.0,113.0,5,TEST,4500.0
180,tata safari,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,TEST,3000.0
181,maruti vitara,2017,750000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,TEST,1750.0
182,jaguar xe,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5,TEST,2500.0
183,tata sumo,2015,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,223.0,7,TEST,2200.0
184,ford figo,2010,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,102.0,5,TEST,4000.0
185,mahindra bolero,2012,420000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
186,mahindra xylo,2013,200000,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,8,TEST,2200.0
187,hyundai eon,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,TEST,4000.0
188,hyundai i,2010,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,TEST,4500.0
189,ford figo,2010,325000,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,215.0,5,TEST,3000.0
190,maruti alto,2008,150000,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
191,tata tiago,2017,380000,28000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,114.0,5,TEST,3500.0
192,maruti ritz,2010,217000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113.0,5,TEST,4500.0
193,maruti swift,2018,750000,15000,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
194,maruti swift,2015,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
195,maruti alto,2019,430000,20000,CNG,Individual,Manual,First Owner,32.26,998,58.3,78.0,4,TEST,3500.0
196,maruti ritz,2016,270000,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,114.0,5,TEST,4000.0
197,toyota innova,2005,245000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,200.06279999999998,8,TEST,3400.0
198,honda city,2019,1200000,40000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,200.0,5,TEST,1750.0
199,chevrolet tavera,2014,500000,50000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,171.0,9,TEST,1800.0
200,maruti swift,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
201,bmw x,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,TEST,2500.0
202,honda city,2013,500000,32000,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,146.0,5,TEST,4800.0
203,maruti alto,2012,220000,111000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,TEST,3000.0
204,ford ecosport,2014,500000,132000,Diesel,Dealer,Manual,Second Owner,22.7,1498,89.84,204.0,5,TEST,2750.0
205,chevrolet sail,2013,229999,46000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,113.0,5,TEST,5000.0
206,maruti swift,2014,434999,50000,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,114.0,5,TEST,4000.0
207,toyota innova,2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,200.06279999999998,8,TEST,3400.0
208,tata indica,2012,200000,80000,Diesel,Individual,Manual,Second Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
209,hyundai grand,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,190.24,5,TEST,2250.0
210,maruti alto,2017,285000,25000,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,69.0,5,TEST,3500.0
211,jaguar xf,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,TEST,2500.0
212,mahindra thar,2018,900000,12000,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,247.0,6,TEST,2000.0
213,tata tiago,2016,490000,100000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,140.0,5,TEST,3000.0
214,tata indigo,2012,246000,35000,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,140.0,5,TEST,3000.0
215,toyota innova,2006,430000,264000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,200.06279999999998,8,TEST,3400.0
216,hyundai verna,2012,415000,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8,5,TEST,2750.0
217,ford aspire,2018,690000,13000,Petrol,Individual,Manual,First Owner,20.4,1194,94.93,120.0,5,TEST,4250.0
218,maruti eeco,2018,358000,44000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101.0,7,TEST,3000.0
219,chevrolet beat,2013,170000,70000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,108.0,5,TEST,4400.0
220,hyundai i,2010,180000,55000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,TEST,4500.0
221,volkswagen vento,2018,885000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,250.0,5,TEST,3000.0
